date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:29:27	58916/58916	---M--	200	added ('OK')	text/html	date:Sun,%2009%20Feb%202014%2013:42:13%20GMT	http://bucketadmin.themebucket.net/	C:/Users/Lubu/Desktop/capstone%20template/bucket/bucketadmin.themebucket.net/index.html	(from )
09:29:33	58916/58916	---M--	200	added ('OK')	text/html	date:Sun,%2009%20Feb%202014%2013:42:13%20GMT	http://bucketadmin.themebucket.net/robots.txt		(from )
09:29:34	168/168	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Feb%202014%2002:29:38%20GMT	http://bucketadmin.themebucket.net/images/favicon.png	C:/Users/Lubu/Desktop/capstone%20template/bucket/bucketadmin.themebucket.net/images/favicon.png	(from http://bucketadmin.themebucket.net/)
09:29:35	101595/101595	---M--	200	added ('OK')	text/css	date:Sun,%2009%20Feb%202014%2013:07:20%20GMT	http://bucketadmin.themebucket.net/bs3/css/bootstrap.min.css	C:/Users/Lubu/Desktop/capstone%20template/bucket/bucketadmin.themebucket.net/bs3/css/bootstrap.min.css	(from http://bucketadmin.themebucket.net/)
09:29:36	27013/27013	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Feb%202014%2006:28:31%20GMT	http://bucketadmin.themebucket.net/assets/jquery-ui/jquery-ui-1.10.1.custom.min.css	C:/Users/Lubu/Desktop/capstone%20template/bucket/bucketadmin.themebucket.net/assets/jquery-ui/jquery-ui-1.10.1.custom.min.css	(from http://bucketadmin.themebucket.net/)
09:29:37	6939/6939	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Feb%202014%2006:31:50%20GMT	http://bucketadmin.themebucket.net/css/bootstrap-reset.css	C:/Users/Lubu/Desktop/capstone%20template/bucket/bucketadmin.themebucket.net/css/bootstrap-reset.css	(from http://bucketadmin.themebucket.net/)
09:29:38	21658/21658	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Feb%202014%2006:28:47%20GMT	http://bucketadmin.themebucket.net/assets/font-awesome/css/font-awesome.css	C:/Users/Lubu/Desktop/capstone%20template/bucket/bucketadmin.themebucket.net/assets/font-awesome/css/font-awesome.css	(from http://bucketadmin.themebucket.net/)
09:29:38	737/737	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Feb%202014%2006:28:28%20GMT	http://bucketadmin.themebucket.net/assets/jvector-map/jquery-jvectormap-1.2.2.css	C:/Users/Lubu/Desktop/capstone%20template/bucket/bucketadmin.themebucket.net/assets/jvector-map/jquery-jvectormap-1.2.2.css	(from http://bucketadmin.themebucket.net/)
09:29:38	6149/6149	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Feb%202014%2006:31:50%20GMT	http://bucketadmin.themebucket.net/css/clndr.css	C:/Users/Lubu/Desktop/capstone%20template/bucket/bucketadmin.themebucket.net/css/clndr.css	(from http://bucketadmin.themebucket.net/)
09:29:39	559/559	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Feb%202014%2006:29:16%20GMT	http://bucketadmin.themebucket.net/assets/css3clock/css/style.css	C:/Users/Lubu/Desktop/capstone%20template/bucket/bucketadmin.themebucket.net/assets/css3clock/css/style.css	(from http://bucketadmin.themebucket.net/)
