date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:27:03	824/824	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2002%20Jan%202014%2010:27:02%20GMT	http://html.crunchpress.net/robots.txt		(from )
17:27:04	52860/52860	---M--	200	added ('OK')	text/html	etag:%222ff47b7-ce7c-4ec4b93e7ffc0%22	http://html.crunchpress.net/kc/kc_fullview/	E:/Study/Capstone/Template/Template/html.crunchpress.net/kc/kc_fullview/index.html	(from )
17:27:06	5028/5028	---M--	200	added ('OK')	text/css	etag:%222ff47bd-13a4-4ec4b93e7ffc0%22	http://html.crunchpress.net/kc/kc_fullview/css/colors.css	E:/Study/Capstone/Template/Template/html.crunchpress.net/kc/kc_fullview/css/colors.css	(from http://html.crunchpress.net/kc/kc_fullview/)
17:27:08	147565/147565	---M--	200	added ('OK')	text/css	etag:%222ff47c3-2406d-4ec4b93e7ffc0%22	http://html.crunchpress.net/kc/kc_fullview/css/custom.css	E:/Study/Capstone/Template/Template/html.crunchpress.net/kc/kc_fullview/css/custom.css	(from http://html.crunchpress.net/kc/kc_fullview/)
17:27:09	133853/133853	---M--	200	added ('OK')	text/css	etag:%222ff47be-20add-4ec4b93e7ffc0%22	http://html.crunchpress.net/kc/kc_fullview/css/bootstrap.css	E:/Study/Capstone/Template/Template/html.crunchpress.net/kc/kc_fullview/css/bootstrap.css	(from http://html.crunchpress.net/kc/kc_fullview/)
17:27:10	45111/45111	---M--	200	added ('OK')	text/css	etag:%222ff47ba-b037-4ec4b93e7ffc0%22	http://html.crunchpress.net/kc/kc_fullview/css/bootstrap-responsive.css	E:/Study/Capstone/Template/Template/html.crunchpress.net/kc/kc_fullview/css/bootstrap-responsive.css	(from http://html.crunchpress.net/kc/kc_fullview/)
17:27:11	12802/12802	---M--	200	added ('OK')	text/css	etag:%222ff47cd-3202-4ec4b93e7ffc0%22	http://html.crunchpress.net/kc/kc_fullview/css/fullcalendar.css	E:/Study/Capstone/Template/Template/html.crunchpress.net/kc/kc_fullview/css/fullcalendar.css	(from http://html.crunchpress.net/kc/kc_fullview/)
17:27:12	5671/5671	---M--	200	added ('OK')	text/css	etag:%222ff47cc-1627-4ec4b93e7ffc0%22	http://html.crunchpress.net/kc/kc_fullview/css/flexslider.css	E:/Study/Capstone/Template/Template/html.crunchpress.net/kc/kc_fullview/css/flexslider.css	(from http://html.crunchpress.net/kc/kc_fullview/)
17:27:12	28711/28711	---M--	200	added ('OK')	text/css	etag:%222ff47ce-7027-4ec4b93e7ffc0%22	http://html.crunchpress.net/kc/kc_fullview/css/font-awesome.css	E:/Study/Capstone/Template/Template/html.crunchpress.net/kc/kc_fullview/css/font-awesome.css	(from http://html.crunchpress.net/kc/kc_fullview/)
17:27:13	2663/2663	---M--	200	added ('OK')	text/css	etag:%222ff47cf-a67-4ec4b93e7ffc0%22	http://html.crunchpress.net/kc/kc_fullview/css/style.css	E:/Study/Capstone/Template/Template/html.crunchpress.net/kc/kc_fullview/css/style.css	(from http://html.crunchpress.net/kc/kc_fullview/)
17:27:14	15009/15009	---M--	200	added ('OK')	text/css	etag:%222ff47d0-3aa1-4ec4b93e7ffc0%22	http://html.crunchpress.net/kc/kc_fullview/css/jquery.mCustomScrollbar.css	E:/Study/Capstone/Template/Template/html.crunchpress.net/kc/kc_fullview/css/jquery.mCustomScrollbar.css	(from http://html.crunchpress.net/kc/kc_fullview/)
17:27:14	4696/4696	---M--	200	added ('OK')	text/css	etag:%222ff4663-1258-4ec4b93e7ffc0%22	http://html.crunchpress.net/kc/kc_fullview/skins/tango/skin.css	E:/Study/Capstone/Template/Template/html.crunchpress.net/kc/kc_fullview/skins/tango/skin.css	(from http://html.crunchpress.net/kc/kc_fullview/)
17:27:15	2452/2452	---M--	200	added ('OK')	application/javascript	etag:%222ff464f-994-4ec4b93e7ffc0%22	http://html.crunchpress.net/kc/kc_fullview/js/html5.js	E:/Study/Capstone/Template/Template/html.crunchpress.net/kc/kc_fullview/js/html5.js	(from http://html.crunchpress.net/kc/kc_fullview/)
